layer_id,layer_type,N,M,slice,slice_count,level,comment,D,sigma,norm,lognorm,alpha,alpha_weighted,spectralnorm,logspectralnorm,softrank,softranklog,softranklogratio,logpnorm,xmin,xmax
0,CONV2D,3,512,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
2,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.04101738972921565,0.040564130526618634,19.11464418148043,1.281366218051731,1.3761762711053525,1.1040696809620896,6.342689437546349,0.8022734471909581,57.6048418864326,1.7604589889125037,3.194337847122438,1.5252759872728925,7.85365291767648e-05,6.342689437546349
4,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.034748843690396436,0.04587903631460869,7.696531974590436,0.8862950779544679,1.5108873267869254,0.4629156161975437,2.0248207846555557,0.30638659017809533,29.255233295113452,1.4662035657308405,5.7854691188624505,0.9372877418291529,0.00033882601269227976,2.0248207846555557
6,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.050099139132584514,0.1358341573576133,45.289322052035565,1.655995819661459,2.0951299876400222,0.12756747019530448,1.1505026306187247,0.060887616018039006,1782.8057384188066,3.251104023304879,54.39516039422016,1.277151492374314,0.015892960591660395,1.0875554681240787
8,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.06240015286879519,0.03190622790069449,242.64447625544216,2.384970409151876,1.4775286932349054,1.9705262169738236,21.560736255220707,1.3336635870397535,2730.7203780214854,3.4362772312639986,3.5765697321700745,2.775615413905862,0.020350044126237494,21.560736255220707
10,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.06820524047378007,0.03793713873753741,103.99133396337535,2.0169971492151215,1.5510687711799092,1.315072811358846,7.044488336144702,0.8478494543852241,1535.1288870755152,3.186144844045019,4.757913421499214,2.220164711024325,0.018683219189166503,7.044488336144702
12,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.05267917113965104,0.058835784993420945,271.1560080545571,2.4332192316224197,2.007106415214933,0.4997747517879498,1.7742001756166663,0.24900261789778141,41441.53614375979,4.617435845347058,19.54372409547345,2.1279965061962316,0.036905709260170845,1.5971558585193804
14,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.09099487559486463,0.07360414662040343,3434.0261265365148,3.535803595008787,1.936827841577251,3.9425704884804365,108.5378652849226,2.035581275654223,108649.04525972396,5.036025914363352,3.4739989380894674,4.94903591015497,4.416375372168259,108.5378652849226
16,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.06845304896562815,0.04801169166282563,285.54716453710233,2.4556778520090936,1.7072563823556448,2.0516439417742482,15.911820980136895,1.2017198840067729,5124.315015670663,3.709635820011414,4.086938869350111,2.8496434181068753,0.143602604101304,15.911820980136895
18,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.07024645088159998,0.052366312656387824,303.66280072996847,2.482391593277498,1.9382196198618566,0.685685590319378,2.258243889500321,0.3537708437644693,40833.09910674527,4.611012342790526,14.033895879391375,2.1624275738679812,0.042991857246908495,2.258243889500321
20,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.06070147314321939,0.06269697524850205,998.5133191129197,2.9993538622749893,1.7009734931963618,3.327904964438897,90.46296044326942,1.9564707961352816,11021.40415878994,4.042236928414697,3.0660860036344717,4.156387951832724,0.5141927827890153,90.46296044326942
22,CONV2D,512,512,,1,LEVEL.LAYER,Layer level,0.03954322384195205,0.03700946470589621,29.01599416926234,1.4626374553013053,1.536318096227943,0.8118878243372688,3.3764736183575437,0.5284633607653667,249.3512500892024,2.3968115498372438,5.535435619161889,1.648894598025913,0.0012829167576456119,3.3764736183575437
24,CONV2D,512,10,,1,LEVEL.LAYER,Layer level,,,,,,,,,,,,,,
